AggressionTestID,ID,ColourID,ID_Series,SiteID,NestID,Year2,Year,Sex,NestStage,RawMinDis,MinDis,Date,TravelMode,NestApproach,Observer,NestVisibleDistance,NumberAdultsPresent,NumberOfEggs,NumberOfChicks,ClutchSize,JulianLay,JulianHatch,LayDate,HatchDate,NumberHatched,Fledged,NumberFledged,JulianTestDay
326,01H,01H,01HMale2019,8,164,1,2019,Male,1Laying,1,599,6/24/2019,Snowmobile,Above,Rebekah,2,2,3,0,3,,197,,7/16/2019,2,1,1,175
231,18K,18K,18KFemale2018,8,8,0,2018,Female,3Provisioning,1,599,8/10/2018,Boat,Below,Erik,2,1,0,2,4,157,,6/6/2018,,2,1,2,222
327,18K,18K,18KFemale2019,8,164,1,2019,Female,1Laying,1,599,6/24/2019,Snowmobile,Above,Rebekah,2,2,3,0,3,,197,,7/16/2019,2,1,1,175
246,89E,89E,89EMale2018,8,8,0,2018,Male,3Provisioning,1,599,8/6/2018,Boat,Below,Erik,2,2,0,2,4,157,,6/6/2018,,2,1,2,218
241,88C,88C,88CFemale2018,18,18,0,2018,Female,3Provisioning,1,599,8/9/2018,Quad,Above,Erik,3,2,0,3,4,159,195,6/8/2018,7/14/2018,4,1,3,221
262,179Female,,23Female2019,23,179,1,2019,Female,1Laying,1,599,6/18/2019,Snowmobile,Below,Rebekah,20,2,3,0,3,161,195,6/10/2019,7/14/2019,2,0,0,169
79,15C,15C,15CMale2018,33,33,0,2018,Male,2Incubating,1,599,6/28/2018,Quad,Above,Kevin,3,2,3,0,3,,201,,7/20/2018,2,1,2,179
220,15C,15C,15CMale2018,33,33,0,2018,Male,3Provisioning,1,599,8/15/2018,Quad,Above,Erik,2,2,0,2,3,,201,,7/20/2018,2,1,2,227
270,15C,15C,15CMale2019,33,189,1,2019,Male,1Laying,1,599,6/15/2019,Quad,Above,Erik,-99,2,0,0,4,,,,,0,0,0,166
273,15C,15C,15CMale2019,33,189,1,2019,Male,2Incubating,1,599,6/22/2019,Quad,Side,Rebekah,2,2,4,0,4,,,,,0,0,0,173
353,15C,15C,15CMale2019,33,189,1,2019,Male,2Incubating,1,599,7/6/2019,Quad,Above,Erik,2,2,4,0,4,,,,,0,0,0,187
392,20H,20H,20HMale2019,39,195,1,2019,Male,3Provisioning,1,599,7/17/2019,Boat,Below,Nick,2,2,0,4,4,160,196,6/9/2019,7/15/2019,4,1,1,198
468,20H,20H,20HMale2019,39,195,1,2019,Male,3Provisioning,1,599,8/9/2019,Boat,Above,Nick,2,2,0,1,4,160,196,6/9/2019,7/15/2019,4,1,1,221
167,92H,92H,92HMale2018,75,75,0,2018,Male,3Provisioning,1,599,7/23/2018,Quad,Above,Erik,2,2,1,2,4,157,193,6/6/2018,7/12/2018,2,1,1,204
242,92H,92H,92HMale2018,75,75,0,2018,Male,3Provisioning,1,599,8/8/2018,Quad,Above,Erik,3,2,0,1,4,157,193,6/6/2018,7/12/2018,2,1,1,220
363,92H,92H,92HMale2019,75,231,1,2019,Male,2Incubating,1,599,7/10/2019,Quad,Below,Erik,3,More than 2,4,0,4,,196,,7/15/2019,4,0,0,191
85,38A,38A,38AMale2018,77,77,0,2018,Male,2Incubating,1,599,6/30/2018,Quad,Above,Matthew,3,2,3,0,3,166,198,6/15/2018,7/17/2018,3,1,1,181
164,85C,85C,85CFemale2018,77,77,0,2018,Female,3Provisioning,1,599,7/23/2018,Quad,Above,Erik,1,2,0,3,3,166,198,6/15/2018,7/17/2018,3,1,1,204
239,85C,85C,85CFemale2018,77,77,0,2018,Female,3Provisioning,1,599,8/9/2018,Quad,Above,Erik,2,1,0,1,3,166,198,6/15/2018,7/17/2018,3,1,1,221
407,49H,49H,49HMale2019,95,251,1,2019,Male,3Provisioning,1,599,7/21/2019,Quad,Side,Nick,2,2,0,3,3,,200,,7/19/2019,3,0,0,202
463,304Male,,151Male2019,151,304,1,2019,Male,3Provisioning,1,599,8/14/2019,Boat,Below,Nick,1,2,0,2,3,166,200,6/15/2019,7/19/2018,3,1,2,226
158,1Male,,1Male2018,1,1,0,2018,Male,3Provisioning,2,598,7/20/2018,Quad,Above,Silu,5,2,0,2,2,160,199,6/9/2018,7/18/2018,2,1,2,201
123,15C,15C,15CMale2018,33,33,0,2018,Male,2Incubating,2,598,7/14/2018,Quad,Above,Silu,2,2,3,0,3,,201,,7/20/2018,2,1,2,195
278,20H,20H,20HMale2019,39,195,1,2019,Male,1Laying,2,598,6/12/2019,Snowmobile,Below,Erik,3,2,3,0,4,160,196,6/9/2019,7/15/2019,4,1,1,163
437,20H,20H,20HMale2019,39,195,1,2019,Male,3Provisioning,2,598,7/26/2019,Boat,Above,Erik,5,2,0,4,4,160,196,6/9/2019,7/15/2019,4,1,1,207
179,47Male,,47Male2018,47,47,0,2018,Male,3Provisioning,2,598,7/25/2018,Quad,Above,Erik,2,2,0,3,3,,203,,7/22/2018,3,0,0,206
166,19K,19K,19KFemale2018,75,75,0,2018,Female,3Provisioning,2,598,7/23/2018,Quad,Above,Erik,2,2,1,2,4,157,193,6/6/2018,7/12/2018,2,1,1,204
